#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,
2020,01,01,00,00,239,2.8,3.8,99.00,99.00,99.00,999,1014.7,11.1,999.0,4.7,99.0,99.00,
2020,01,01,01,00,239,2.9,3.7,99.00,99.00,99.00,999,1014.9,11.2,999.0,4.8,99.0,99.00,
2020,01,01,02,00,245,4.0,5.5,99.00,99.00,99.00,999,1015.3,11.5,999.0,3.8,99.0,99.00,
2020,01,01,03,00,242,4.2,6.5,99.00,99.00,99.00,999,1015.5,11.5,999.0,3.5,99.0,99.00,
2020,01,01,04,00,239,4.8,6.3,99.00,99.00,99.00,999,1015.4,11.4,999.0,3.8,99.0,99.00,
2020,01,01,05,00,251,4.2,6.7,99.00,99.00,99.00,999,1015.4,11.2,999.0,3.4,99.0,99.00,
2020,01,01,06,00,260,4.9,6.8,99.00,99.00,99.00,999,1015.0,10.9,999.0,1.4,99.0,99.00,
2020,01,01,07,00,261,4.5,5.9,99.00,99.00,99.00,999,1015.2,10.5,999.0,0.4,99.0,99.00,
2020,01,01,08,00,269,3.7,5.5,99.00,99.00,99.00,999,1015.5,9.8,999.0,0.0,99.0,99.00,
2020,01,01,09,00,262,3.8,5.0,99.00,99.00,99.00,999,1015.8,9.4,999.0,0.0,99.0,99.00,
2020,01,01,10,00,288,3.1,4.6,99.00,99.00,99.00,999,1015.6,8.6,999.0,0.0,99.0,99.00,
2020,01,01,11,00,279,2.9,5.1,99.00,99.00,99.00,999,1016.4,7.9,999.0,0.0,99.0,99.00,
2020,01,01,12,00,274,2.0,3.1,99.00,99.00,99.00,999,1016.9,7.0,999.0,0.2,99.0,99.00,
2020,01,01,13,00,271,2.7,4.1,99.00,99.00,99.00,999,1017.4,7.1,999.0,0.5,99.0,99.00,
2020,01,01,14,00,288,3.5,5.2,99.00,99.00,99.00,999,1018.1,8.6,999.0,0.4,99.0,99.00,
2020,01,01,15,00,296,4.4,6.1,99.00,99.00,99.00,999,1018.3,10.0,999.0,-0.5,99.0,99.00,
2020,01,01,16,00,300,2.8,4.1,99.00,99.00,99.00,999,1018.2,11.4,999.0,0.4,99.0,99.00,
2020,01,01,17,00,280,2.2,4.0,99.00,99.00,99.00,999,1017.4,13.1,999.0,0.6,99.0,99.00,
2020,01,01,18,00,245,3.2,4.4,99.00,99.00,99.00,999,1015.9,13.7,999.0,0.3,99.0,99.00,
2020,01,01,19,00,250,2.8,4.2,99.00,99.00,99.00,999,1015.2,15.4,999.0,0.2,99.0,99.00,
2020,01,01,20,00,287,3.6,5.9,99.00,99.00,99.00,999,1015.2,15.7,999.0,-0.3,99.0,99.00,
2020,01,01,21,00,275,2.7,4.0,99.00,99.00,99.00,999,1015.7,15.7,999.0,-1.0,99.0,99.00,
2020,01,01,22,00,261,2.1,2.8,99.00,99.00,99.00,999,1015.9,14.3,999.0,0.1,99.0,99.00,
2020,01,01,23,00,237,2.7,3.4,99.00,99.00,99.00,999,1016.6,12.3,999.0,2.5,99.0,99.00,
2020,01,02,00,00,246,2.5,2.9,99.00,99.00,99.00,999,1017.4,11.2,999.0,3.8,99.0,99.00,
2020,01,02,01,00,263,1.9,2.8,99.00,99.00,99.00,999,1018.1,10.6,999.0,2.7,99.0,99.00,
2020,01,02,02,00,268,0.7,1.0,99.00,99.00,99.00,999,1018.7,9.8,999.0,1.9,99.0,99.00,
2020,01,02,03,00,278,1.0,1.4,99.00,99.00,99.00,999,1018.7,9.7,999.0,2.4,99.0,99.00,
2020,01,02,04,00,282,1.3,1.7,99.00,99.00,99.00,999,1018.8,10.0,999.0,2.7,99.0,99.00,
2020,01,02,05,00,295,1.6,1.8,99.00,99.00,99.00,999,1018.9,10.0,999.0,3.4,99.0,99.00,
2020,01,02,06,00,295,1.4,1.6,99.00,99.00,99.00,999,1018.3,9.9,999.0,3.6,99.0,99.00,
2020,01,02,07,00,276,1.5,1.8,99.00,99.00,99.00,999,1018.3,10.1,999.0,2.0,99.0,99.00,
2020,01,02,08,00,285,2.4,2.4,99.00,99.00,99.00,999,1018.9,10.1,999.0,2.4,99.0,99.00,
2020,01,02,09,00,332,1.9,2.1,99.00,99.00,99.00,999,1018.7,10.1,999.0,3.8,99.0,99.00,
2020,01,02,10,00,288,2.4,2.6,99.00,99.00,99.00,999,1019.1,9.5,999.0,4.7,99.0,99.00,
2020,01,02,11,00,269,2.2,2.5,99.00,99.00,99.00,999,1019.3,9.4,999.0,3.1,99.0,99.00,
2020,01,02,12,00,288,2.2,2.4,99.00,99.00,99.00,999,1020.0,9.5,999.0,4.9,99.0,99.00,
2020,01,02,13,00,0,0.0,0.0,99.00,99.00,99.00,999,1020.1,10.4,999.0,4.0,99.0,99.00,
2020,01,02,14,00,128,2.1,2.3,99.00,99.00,99.00,999,1020.4,12.1,999.0,6.3,99.0,99.00,
2020,01,02,15,00,143,2.5,2.7,99.00,99.00,99.00,999,1020.9,12.8,999.0,9.2,99.0,99.00,
2020,01,02,16,00,162,2.1,2.2,99.00,99.00,99.00,999,1020.9,13.8,999.0,8.9,99.0,99.00,
2020,01,02,17,00,199,1.4,1.8,99.00,99.00,99.00,999,1020.1,14.0,999.0,8.6,99.0,99.00,
2020,01,02,18,00,200,0.6,0.9,99.00,99.00,99.00,999,1018.6,14.3,999.0,8.2,99.0,99.00,
2020,01,02,19,00,300,1.1,1.4,99.00,99.00,99.00,999,1018.8,14.5,999.0,6.4,99.0,99.00,
2020,01,02,20,00,353,0.7,1.0,99.00,99.00,99.00,999,1018.9,14.3,999.0,8.1,99.0,99.00,
2020,01,02,21,00,55,2.1,2.4,99.00,99.00,99.00,999,1018.7,14.1,999.0,9.7,99.0,99.00,
2020,01,02,22,00,82,3.3,3.6,99.00,99.00,99.00,999,1018.7,13.8,999.0,9.9,99.0,99.00,
2020,01,02,23,00,75,3.0,3.3,99.00,99.00,99.00,999,1018.6,13.7,999.0,10.5,99.0,99.00,
2020,01,03,00,00,78,3.6,4.2,99.00,99.00,99.00,999,1018.3,13.8,999.0,11.5,99.0,99.00,
2020,01,03,01,00,82,4.2,4.6,99.00,99.00,99.00,999,1017.9,14.1,999.0,12.5,99.0,99.00,
2020,01,03,02,00,107,5.4,6.0,99.00,99.00,99.00,999,1017.4,14.8,999.0,13.2,99.0,99.00,
2020,01,03,03,00,124,4.1,4.4,99.00,99.00,99.00,999,1017.2,14.8,999.0,13.8,99.0,99.00,
2020,01,03,04,00,145,5.3,5.6,99.00,99.00,99.00,999,1016.5,15.8,999.0,15.0,99.0,99.00,
2020,01,03,05,00,173,6.1,6.4,99.00,99.00,99.00,999,1016.2,16.5,999.0,16.3,99.0,99.00,
2020,01,03,06,00,180,5.6,5.8,99.00,99.00,99.00,999,1015.5,16.2,999.0,16.2,99.0,99.00,
2020,01,03,07,00,196,6.0,6.6,99.00,99.00,99.00,999,1015.4,16.5,999.0,16.5,99.0,99.00,
